Cluster Index	Value	x	y	z	
1	24.2	129	95	146
1	24.1	165	64	9
1	23.8	173	14	133
1	23.5	156	56	123
1	23.5	29	165	5
1	22	32	62	18
1	22	114	133	87
1	21.9	11	79	7
1	21.9	18	41	168
1	21.8	67	133	133
1	21.7	52	117	187
1	21.6	130	129	91
1	21.6	149	161	18
1	21.5	154	122	164
1	21.5	164	120	82
1	21.4	166	64	140
1	21.4	48	8	119
1	21.4	112	156	17
1	21.4	175	84	119
1	21.3	121	97	73
1	21.3	152	135	115
1	21.3	133	116	45
1	21.3	5	174	61
1	21.3	5	116	99
1	21.2	115	93	84
1	21.2	160	48	13
1	21.1	33	147	63
1	21.1	89	21	163
1	21.1	98	196	79
1	21	163	107	184
1	21	171	47	121
1	20.9	66	142	104
1	20.9	90	18	124
1	20.9	16	97	26
1	20.9	24	194	24
1	20.9	169	171	58
1	20.9	75	4	48
1	20.9	61	138	47
1	20.8	102	93	46
1	20.8	166	192	4
1	20.8	129	150	125
1	20.7	52	53	11
1	20.7	24	24	25
1	20.7	26	99	68
1	20.7	13	23	20
1	20.6	110	48	64
1	20.6	137	99	57
1	20.6	158	7	17
1	20.6	163	187	139
1	20.6	133	112	173
1	20.6	175	63	146
1	20.5	108	85	91
1	20.5	80	73	11
1	20.5	15	45	58
1	20.5	94	167	51
1	20.4	66	111	115
1	20.4	63	99	34
1	20.4	169	24	174
1	20.4	15	125	53
1	20.3	48	148	66
1	20.3	42	51	189
1	20.3	17	134	181
1	20.2	129	63	185
1	20.2	141	100	192
1	20.2	76	146	17
1	20.2	191	40	36
1	20.1	49	43	166
1	20.1	15	25	68
1	20.1	58	184	152
1	20.1	119	34	159
1	20.1	7	156	175
1	20.1	94	166	116
1	20.1	79	181	42
1	20.1	8	48	67
1	20.1	90	190	192
1	20.1	110	145	160
1	20.1	29	96	72
1	20.1	27	10	93
1	20	156	20	182
1	20	86	70	180
1	20	71	160	154
1	20	156	164	102
1	20	28	56	145
1	20	41	40	4
1	20	34	43	191
1	19.9	182	52	56
1	19.9	161	194	6
1	19.9	81	146	74
1	19.9	20	12	121
1	19.9	139	90	131
1	19.9	66	179	123
1	19.9	23	184	103
1	19.9	95	179	98
1	19.8	52	49	127
1	19.8	85	77	161
1	19.8	158	115	188
1	19.8	18	79	112
1	19.8	51	53	46
1	19.8	97	63	4
1	19.7	108	134	169
1	19.7	176	140	111
1	19.7	124	132	41
1	19.7	57	128	133
1	19.7	140	35	127
1	19.7	57	79	192
1	19.7	126	164	87
1	19.7	100	155	155
1	19.6	118	68	153
1	19.6	60	82	70
1	19.6	50	151	45
1	19.6	111	153	71
1	19.6	192	189	185
1	19.6	194	171	195
1	19.6	136	76	23
1	19.6	13	68	20
1	19.6	173	56	190
1	19.6	188	66	105
1	19.5	141	170	50
1	19.5	169	177	179
1	19.5	149	150	29
1	19.5	129	50	46
1	19.5	130	19	70
1	19.5	175	32	102
1	19.5	156	151	30
1	19.5	135	88	8
1	19.4	163	186	36
1	19.4	105	106	173
1	19.4	119	29	159
1	19.4	158	129	171
1	19.4	176	25	60
1	19.4	172	166	149
1	19.4	192	37	104
1	19.4	131	131	159
1	19.4	162	143	184
1	19.4	130	111	45
1	19.4	170	142	79
1	19.4	89	122	95
1	19.4	132	127	82
1	19.4	33	181	157
1	19.3	98	107	79
1	19.3	195	95	118
1	19.3	181	109	108
1	19.3	91	115	67
1	19.3	117	33	148
1	19.3	60	86	42
1	19.3	14	28	70
1	19.3	152	192	5
1	19.3	144	24	117
1	19.3	60	124	13
1	19.3	93	171	133
1	19.3	187	34	22
1	19.3	163	57	23
1	19.3	169	126	125
1	19.3	170	38	10
1	19.3	105	99	108
1	19.3	119	54	168
1	19.2	37	81	145
1	19.2	16	158	30
1	19.2	90	136	88
1	19.2	51	192	114
1	19.2	58	77	12
1	19.2	65	147	34
1	19.2	155	188	56
1	19.2	8	186	112
1	19.2	185	105	184
1	19.2	47	188	115
1	19.2	45	69	195
1	19.1	140	5	182
1	19.1	109	150	21
1	19.1	97	161	130
1	19.1	89	68	172
1	19.1	61	54	32
1	19.1	28	123	173
1	19.1	61	162	11
1	19.1	51	175	147
1	19.1	59	53	167
1	19.1	169	60	20
1	19.1	95	58	10
1	19.1	77	5	94
1	19.1	141	42	55
1	19.1	108	111	39
1	19.1	57	27	79
1	19.1	57	180	48
1	19.1	159	23	196
1	19.1	99	176	87
1	19.1	58	51	85
1	19.1	43	91	74
1	19.1	187	45	94
1	19.1	5	21	100
1	19	78	69	21
1	19	101	9	55
1	19	66	56	42
1	19	169	113	76
1	19	95	101	140
1	19	58	83	176
1	19	101	82	35
1	19	66	66	166
1	19	149	86	158
1	19	170	129	127
1	19	91	62	193
1	19	44	100	37
1	19	101	169	171
1	19	10	98	127
1	19	194	84	80
1	19	21	33	122
1	19	118	170	18
1	19	142	102	145
1	19	42	45	42
1	19	153	179	184
1	18.9	46	139	122
1	18.9	34	33	103
1	18.9	4	28	166
1	18.9	118	20	184
1	18.9	11	48	25
1	18.9	21	128	34
1	18.9	42	20	77
1	18.9	15	103	155
1	18.9	183	55	108
1	18.9	79	105	12
1	18.9	172	85	179
1	18.8	183	66	154
1	18.8	39	11	132
1	18.8	135	193	105
1	18.8	49	146	70
1	18.8	54	113	63
